id,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,title,release_date,developer,genres,multiplayer_or_singleplayer,price,dc_price,overall_review,detailed_review,reviews,percent_positive,win_support,mac_support,lin_support
15717,This War of Mine,PS4,2016,Action,Deep Silver,0.0,0.01,0.0,0.0,0.02,Silence of the Sleep,2014-10-01,Jesse Makkonen,Adventure;Indie,Single-player,199.0,33.0,Positive,Positive,23.0,86,1,0,0
15721,Marvel Superheroes 3D: Grandmaster's Challenge,Wii,2010,Action,Neko Entertainment,0.0,0.01,0.0,0.0,0.02,Super BOO Quest,2018-10-21,SEEP,Adventure;Casual;Indie,Single-player,85.0,85.0,Positive,Positive,12.0,100,1,0,0
15722,Suzunone Seven: Rebirth Knot,PS2,2010,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02,Travel Mosaics 6: Christmas Around the World,2018-12-03,Jetdogs Studios,Casual,Single-player,42.0,42.0,Positive,Positive,10.0,90,1,1,0
15723,Arslan: The Warriors of Legend,XOne,2016,Action,Tecmo Koei,0.01,0.0,0.0,0.0,0.02,The Guest,2016-03-10,Team Gotham,Adventure;Indie,Single-player,369.0,369.0,Positive,Mixed,134.0,61,1,1,0
15725,Zoids Dash,DS,2006,Role-Playing,Tomy Corporation,0.0,0.0,0.02,0.0,0.02,Legends of Talia: Arcadia,2017-10-27,Winged Cloud,Simulation,Single-player,85.0,85.0,Positive,Mostly Positive,21.0,76,1,1,1
15726,Digimon Rumble Arena,PS,2001,Fighting,Namco Bandai Games,0.01,0.01,0.0,0.0,0.02,Monster Truck Destruction,2015-07-10,ODD Games,Action;Racing,Single-player,259.0,259.0,Mixed,Positive,12.0,100,1,1,0
15728,Disciples III: Renaissance,PC,2010,Strategy,Kalypso Media,0.0,0.01,0.0,0.0,0.02,Uurnog Uurnlimited,2017-11-16,Nifflas Games,Indie,Single-player,349.0,349.0,Positive,Mostly Positive,50.0,72,1,1,0
15729,Revolution: 25th Anniversary Collection,PC,2016,Adventure,Koch Media,0.0,0.02,0.0,0.0,0.02,The Dragons' Twilight,2017-07-24,G. A. Williams,RPG,Single-player,229.0,229.0,Positive,Mostly Positive,23.0,73,1,0,0
15730,MX vs. ATV Supercross Encore,XOne,2015,Sports,Nordic Games,0.02,0.0,0.0,0.0,0.02,Onirim - Solitaire Card Game,2017-07-26,Asmodee Digital;Playsoft;Z-Man Games,Casual;Free to Play;Strategy,Single-player,0.0,0.0,Positive,Very Positive,112.0,89,1,0,0
15732,Goblin Commander: Unleash the Horde,GC,2003,Strategy,Jaleco,0.01,0.0,0.0,0.0,0.02,Mr. Dubstep,2017-09-18,Just1337 Studio,Action;Casual;Indie,Single-player,826.0,826.0,Positive,Positive,34.0,97,1,1,1
15733,Super Speed Machines,DS,2009,Racing,Midas Interactive Entertainment,0.02,0.0,0.0,0.0,0.02,Malzbie's Pinball Collection,2017-10-27,Malzbie Games,Casual;Free to Play;Indie;Simulation;Sports,Single-player,0.0,0.0,Positive,Positive,46.0,84,1,0,0
15735,Elkrone no Atelier: Dear for Otomate,PSP,2012,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02,Heroes of Steel RPG,2014-04-23,Trese Brothers,Indie;RPG;Strategy,Single-player,480.0,480.0,Positive,Positive,31.0,100,1,1,1
15736,DJ Star,DS,2009,Misc,Deep Silver,0.01,0.0,0.0,0.0,0.02,Slash or Die 2,2018-07-12,ClickGames,Action;Indie,Single-player,125.0,125.0,Positive,Very Positive,51.0,94,1,1,1
15740,Otometeki Koi Kakumei * Love Revo!! DS,DS,2008,Adventure,GungHo,0.0,0.0,0.02,0.0,0.02,Chiptune Champion,2016-01-08,Blake Garner,Casual;Indie,Single-player,459.0,459.0,Positive,Very Positive,59.0,88,1,0,0
15741,Clue / Mouse Trap / Perfection / Aggravation,DS,2006,Misc,Unknown,0.02,0.0,0.0,0.0,0.02,MURI,2013-12-06,Ludosity;Remar Games,Action,Single-player,199.0,199.0,Positive,Positive,31.0,100,1,0,0
15743,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4,PS3,2015,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,Freedom Fall,2014-01-10,Stirfire Studios,Action;Adventure;Indie,Single-player,369.0,369.0,Positive,Very Positive,100.0,97,1,0,0
15744,Elven Legacy Collection,PC,2010,Strategy,Paradox Interactive,0.0,0.01,0.0,0.0,0.02,Six Sides of the World,2016-01-20,Cybernetik Design,Action;Adventure;Casual;Indie,Single-player,199.0,199.0,Positive,Positive,17.0,100,1,0,0
15746,Postman Pat: Special Delivery Service,DS,2009,Misc,GSP,0.0,0.01,0.0,0.0,0.02,Proto Raider,2015-08-28,Puzzle Lab,Action;Indie,Single-player,399.0,399.0,Positive,Very Positive,159.0,82,1,0,0
15747,Cross + Channel,PSP,2010,Adventure,CyberFront,0.0,0.0,0.02,0.0,0.02,AaAaAA!!! - A Reckless Disregard for Gravity,2009-09-03,"Dejobaan Games, LLC",Action;Indie;Sports,Single-player,369.0,369.0,Positive,Positive,14.0,92,1,0,0
15753,Blazing Angels: Squadrons of WWII,PC,2006,Simulation,Ubisoft,0.01,0.0,0.0,0.0,0.02,CAFE 0 ~The Sleeping Beast~,2016-11-11,ROSEVERTE MYSTERY,Adventure;Casual;Indie,Single-player,529.0,529.0,Positive,Very Positive,75.0,88,1,1,0
15754,Let's Yoga!,DS,2007,Misc,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,Steel Alcimus,2018-12-28,Hijong Park,Action;Free to Play;Indie,Single-player,55.0,55.0,Positive,Very Positive,65.0,83,1,0,0
15757,L.G.S: Shinsetsu Houshinengi,PSP,2012,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02,Death Tractor,2015-10-29,Exato Game Studios,Action;Casual;Indie;Simulation,Single-player,42.0,42.0,Positive,Mostly Positive,28.0,78,1,0,0
15765,Uchi no 3 Shimai DS,DS,2008,Misc,Culture Brain,0.0,0.0,0.02,0.0,0.02,VRemin (Virtual Reality Theremin),2017-02-06,hOSHI,Simulation,Single-player,58.0,58.0,Positive,Mostly Positive,190.0,76,1,0,0
15767,Soul Eater: Monotone Princess,Wii,2008,Action,Square Enix,0.0,0.0,0.02,0.0,0.02,TITAN SLAYER,2017-04-27,"COLOPL, Inc.",Action,Single-player,439.0,439.0,Positive,Very Positive,57.0,80,1,0,0
15769,Big Idea's VeggieTales: LarryBoy and the Bad Apple,GBA,2006,Action,Crave Entertainment,0.01,0.0,0.0,0.0,0.02,Super Dangerous Dungeons,2018-07-02,Adventure Islands,Action;Adventure;Indie,Single-player,250.0,250.0,Positive,Very Positive,203.0,81,1,1,0
15770,Still Life 2,PC,2009,Adventure,Rondomedia,0.0,0.01,0.0,0.0,0.02,Ambition of the Slimes,2018-02-15,altairworks,Indie;RPG;Simulation;Strategy,Single-player,199.0,199.0,Positive,Positive,18.0,83,1,0,0
